Geneid,Gene Type,Product Description,BD,BD.1,BD.2,BP,BP.1,BP.2,DA,DA.1,DA.2,DD,DD.1,DD.2,DP,DP.1,DP.2
AGAP010386,protein coding gene,Translocating chain-associated membrane protein 2,1618,1474,1220,1302,1222,1101,775,1560,534,2145,2838,1301,576,544,779
AGAP010387,protein coding gene,alanine-glyoxylate aminotransferase,747,395,291,1673,1830,1667,292,504,268,667,608,305,1605,973,1948
AGAP010388,protein coding gene,glucuronyl/N-acetylglucosaminyl transferase EXT1,1556,1441,1212,1715,1457,1446,1267,1420,990,1533,1571,1067,876,673,742
AGAP010389,protein coding gene,Prestin,1013,959,742,724,633,700,492,850,347,1334,1067,777,318,359,466
AGAP010390,protein coding gene,carboxylesterase,236,195,268,93,61,441,148,88,56,91,108,54,32,37,47
AGAP010391,protein coding gene,LIM domain only protein 4,125,141,138,157,161,162,75,118,62,89,79,81,69,48,82
AGAP010392,protein coding gene,calumenin,766,660,690,514,419,1035,561,638,400,568,616,443,308,215,283
AGAP010393,protein coding gene,unspecified product,1743,1624,1304,1909,1694,1432,1561,1894,1114,2219,2262,1612,972,925,1140
AGAP010394,protein coding gene,Patched-related [Source:UniProtKB/TrEMBL;Acc:A0A1S4H4P3],687,608,518,645,708,735,341,549,218,431,688,429,351,323,439
AGAP010395,protein coding gene,calpain-C,229,230,238,184,201,201,164,232,111,274,457,166,131,116,146
AGAP010396,protein coding gene,kinesin family member 3/17,1297,1076,951,1271,1167,1182,1009,1268,683,1325,1545,906,664,587,691
AGAP010397,protein coding gene,protein N-terminal methyltransferase,111,91,74,100,98,81,83,102,45,111,97,76,50,39,66
AGAP010398,protein coding gene,Flavin-containing monooxygenase FMO GS-OX-like 1,677,1089,1145,356,1470,892,1475,407,2078,1705,22549,1405,42,50,80
AGAP010399,protein coding gene,Flavin-containing monooxygenase FMO GS-OX-like 1,32,28,45,53,51,44,47,89,24,192,71,59,33,25,27
AGAP010400,protein coding gene,Flavin-containing monooxygenase [Source:UniProtKB/TrEMBL;Acc:A0A1S4H4U8],104,114,94,75,82,53,70,87,34,114,288,72,41,39,59
AGAP010401,protein coding gene,Flavin-containing monooxygenase FMO GS-OX-like 6,77,69,62,53,64,73,52,90,39,107,76,68,38,36,41
AGAP010402,protein coding gene,abhydrolase domain-containing protein FAM108B1,1402,1101,1067,1455,1411,1217,1053,1418,699,1379,1360,1100,705,646,752
AGAP010403,protein coding gene,"enoyl-CoA hydratase domain-containing protein 3, mitochondrial",673,605,496,530,504,449,413,534,190,722,588,533,323,285,365
AGAP010404,protein coding gene,glutathione S-transferase sigma class 1,10576,10662,13297,10536,14504,9610,3774,7427,1842,6352,7173,6436,3584,3688,5136
AGAP010405,protein coding gene,transcription factor MAFF/G/K,342,337,290,450,386,344,382,464,271,428,488,336,287,192,247
AGAP010406,protein coding gene,origin recognition complex subunit 3,128,106,108,165,120,122,110,202,46,255,204,143,100,65,123
AGAP010407,protein coding gene,Elongator complex protein 4 [Source:UniProtKB/TrEMBL;Acc:A0A453YVZ9],411,349,304,448,385,339,396,435,257,479,404,394,223,175,205
AGAP010408,protein coding gene,unspecified product,9,12,7,17,14,23,2,3,4,8,6,4,15,3,4
AGAP010409,protein coding gene,odorant-binding protein 22,51,33,56,53,60,31,36,47,24,27,32,23,11,10,17
AGAP010410,protein coding gene,unspecified product,3534,2789,2711,3020,2494,2953,2509,3411,2036,3234,2707,2501,1933,1418,1889
AGAP010411,protein coding gene,ionotropic receptor IR8a,15,5,11,9,15,11,10,19,7,6,8,5,2,2,3
AGAP010412,protein coding gene,unspecified product,161,80,68,161,161,142,44,128,17,110,123,86,104,85,135
AGAP010413,protein coding gene,SH3 and multiple ankyrin repeat domains protein,4872,4223,3676,4641,4074,4059,4373,4918,2918,5435,7901,3893,2526,2119,2879
AGAP010414,protein coding gene,cytochrome P450,39,67,35,42,52,31,57,54,15,119,45,72,12,10,7
AGAP010415,protein coding gene,unspecified product,1358,932,1295,876,771,1127,1046,1928,878,1485,3303,1379,878,530,809
AGAP010416,protein coding gene,ATP-binding cassette transporter (ABC transporter) family A member 8,1095,941,938,1041,861,867,651,949,698,899,879,867,640,417,538
AGAP010417,protein coding gene,tetratricopeptide repeat protein 39B,1023,950,832,843,751,996,918,985,355,1106,2115,751,491,385,579
AGAP010418,protein coding gene,outer segment 6,201,160,121,134,126,145,107,158,76,243,178,129,87,81,74
AGAP010419,protein coding gene,Rab proteins geranylgeranyltransferase component A [Source:UniProtKB/TrEMBL;Acc:Q7QDU2],254,264,198,284,212,240,278,310,201,368,387,282,112,89,122
AGAP010420,protein coding gene,valyl-tRNA synthetase,1135,1070,774,854,821,1052,503,1169,496,1141,1056,678,562,463,625
AGAP010421,protein coding gene,pyruvate dehydrogenase E1 component subunit beta,9030,6737,9267,8218,9005,7990,3251,6461,2635,5677,6236,6864,4339,3361,4761
AGAP010422,protein coding gene,Limbic system-associated membrane protein,406,397,347,507,425,435,251,340,281,258,272,278,236,148,237
AGAP010423,protein coding gene,JAKSTAT pathway signalling transcription factor,7,6,7,10,10,4,10,8,6,8,7,1,4,6,7
AGAP010426,protein coding gene,general transcription factor 3C polypeptide 3 (transcription factor C subunit,164,151,146,151,125,152,91,159,56,189,204,128,67,78,92
AGAP010427,protein coding gene,serine palmitoyltransferase,1895,1644,1432,1840,1678,1782,2649,2406,2246,2260,3208,1820,1058,754,1014
AGAP010428,protein coding gene,"1,4-alpha-glucan branching enzyme [Source:UniProtKB/TrEMBL;Acc:Q7QDU9]",2719,2129,1860,1846,2356,1815,776,2428,848,1952,1635,1505,1578,1501,2109
AGAP010429,protein coding gene,succinate dehydrogenase (ubiquinone) flavoprotein subunit,23675,20180,22926,28086,24917,17936,13894,23404,9395,19170,19025,20131,15553,11143,11826
AGAP010430,protein coding gene,"amiloride-sensitive sodium channel, other",1,2,0,3,4,1,0,0,0,2,1,2,2,0,1
AGAP010431,protein coding gene,unspecified product,1532,1420,1435,1558,1432,1416,981,1467,732,1147,1306,1206,685,664,832
AGAP010432,protein coding gene,DnaJ homolog subfamily C member 11 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H3Y8],642,568,442,505,494,553,498,549,324,659,703,451,309,220,303
AGAP010433,protein coding gene,unspecified product,82,74,80,107,109,91,126,111,160,82,119,75,49,42,45
AGAP010435,protein coding gene,unspecified product,499,479,440,450,511,427,218,323,124,443,463,359,253,205,253
AGAP010436,protein coding gene,adenylate cyclase 2,2591,2285,2199,2599,2585,2459,1243,2272,880,1980,2113,1787,1531,1227,1486
AGAP010437,protein coding gene,Eclosion hormone [Source:UniProtKB/TrEMBL;Acc:A0NCV3],0,0,0,0,2,1,0,2,0,0,0,1,0,0,0
AGAP010438,protein coding gene,Nuclear receptor subfamily 0 group A [Source:UniProtKB/TrEMBL;Acc:A0A1S4H3Z4],550,508,471,671,564,625,467,458,197,502,998,322,315,313,285
AGAP010439,protein coding gene,unspecified product,73,49,56,75,61,50,33,68,35,71,79,41,32,24,64
AGAP010440,protein coding gene,Small nuclear ribonucleoprotein E [Source:UniProtKB/TrEMBL;Acc:Q7QDV5],178,145,104,154,125,142,162,177,154,185,172,142,73,82,87
AGAP010441,protein coding gene,unspecified product,38,52,53,49,41,40,46,56,20,52,84,46,18,24,23
AGAP010442,protein coding gene,frizzled 2 transmembrane receptor,3219,2448,2586,2985,2662,3491,1553,2830,1396,2274,2810,1988,1902,1281,1792
AGAP010443,protein coding gene,cytochrome c oxidase assembly protein subunit 11,398,341,286,315,341,229,180,275,110,304,248,284,158,129,168
AGAP010444,protein coding gene,Fas-binding factor 1,11,7,6,14,5,6,13,12,8,11,13,7,4,2,14
AGAP010445,protein coding gene,Rab11 family-interacting protein 3/4,5897,5280,5198,6089,5025,5985,4801,6211,3339,5749,7081,4361,3335,2747,3460
AGAP010447,protein coding gene,gamma-glutamylcyclotransferase,211,151,129,124,155,119,109,152,131,184,191,154,66,83,80
AGAP010448,pseudogene,unspecified product,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0
AGAP010449,protein coding gene,unspecified product,38,22,16,15,13,26,17,29,14,15,18,14,9,9,6
AGAP010450,protein coding gene,"39S ribosomal protein L2, mitochondrial",430,429,362,325,400,295,138,360,38,385,388,323,247,240,287
AGAP010451,protein coding gene,Lon-like ATP-dependent protease,590,642,442,458,378,496,563,981,335,976,892,631,339,301,358
AGAP010453,protein coding gene,ribosome biogenesis protein NSA1,458,360,273,517,506,411,342,469,210,480,529,388,297,257,338
AGAP010454,protein coding gene,U1 snRNP splicing complex subunit (Luc7),1424,1285,1199,1615,1664,1363,1316,1391,972,1468,1342,1101,947,820,905
AGAP010455,protein coding gene,hydroxyacid oxidase 2,60,71,55,72,74,39,62,53,18,87,96,92,36,27,31
AGAP010456,protein coding gene,unspecified product,4126,3819,3585,4483,4009,3945,2667,3156,2580,3209,3136,2669,1929,1478,1827
AGAP010457,protein coding gene,thymidylate synthase,114,100,72,156,73,144,90,124,67,103,144,91,86,64,83
AGAP010458,protein coding gene,Ninjurin 1,50,37,39,84,78,52,27,35,13,93,48,43,44,28,48
AGAP010459,protein coding gene,transcriptional adapter 3,525,475,423,488,405,481,370,592,206,556,613,393,266,223,309
AGAP010460,protein coding gene,RhoA activator C11orf59 homolog,169,160,156,157,174,125,155,163,215,172,174,131,73,56,95
AGAP010462,protein coding gene,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin",2397,1773,1795,1472,1493,1975,1222,2139,993,1815,1813,1497,1215,841,1174
AGAP010463,protein coding gene,myo-inositol-1(or 4)-monophosphatase,349,313,232,437,458,370,250,356,155,202,299,229,298,173,281
AGAP010464,protein coding gene,NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1,6399,5744,6295,6056,6563,5946,2930,5148,1760,4658,4871,4801,3109,2640,3985
AGAP010465,protein coding gene,unspecified product,550,497,401,494,438,460,343,457,271,409,361,333,226,180,216
AGAP010466,protein coding gene,unspecified product,6,6,1,13,13,9,29,11,11,13,20,16,3,6,7
AGAP010467,protein coding gene,unspecified product,10,5,11,9,5,8,3,2,2,1,7,6,2,4,3
AGAP010468,protein coding gene,unspecified product,0,0,1,5,1,3,2,1,0,4,0,0,1,0,0
AGAP010470,protein coding gene,unspecified product,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
AGAP010471,protein coding gene,unspecified product,1547,1235,1149,1526,1453,1522,1718,1282,635,1084,1566,853,654,591,720
AGAP010473,protein coding gene,Pleckstrin-like proteiny domain-containing family G member 5,1235,935,929,979,886,905,715,933,485,1012,842,782,543,401,523
AGAP010474,protein coding gene,anoctamin 5,79,72,79,60,94,100,28,70,44,114,57,40,32,20,53
AGAP010475,protein coding gene,tubulin polyglutamylase complex subunit 2,1,1,2,1,4,1,1,0,0,2,1,5,2,1,1
AGAP010476,protein coding gene,alpha-endosulfine,2082,1885,1551,2374,1916,1760,1735,2445,1034,2371,2609,1794,1254,1008,1341
AGAP010477,protein coding gene,phosducin-like 3,370,430,322,458,393,438,371,476,225,434,487,387,284,217,316
AGAP010478,protein coding gene,Protein crossbronx homolog [Source:UniProtKB/Swiss-Prot;Acc:Q7PRH1],377,379,302,373,415,331,179,316,92,320,374,294,227,178,248
AGAP010479,protein coding gene,unspecified product,7186,5810,5301,4813,4478,5503,1266,4101,893,2667,2989,5287,2445,2096,2478
AGAP010480,protein coding gene,Kinase [Source:UniProtKB/TrEMBL;Acc:A0A1S4H446],6654,6908,5759,7616,6863,6470,6364,7650,4461,7007,10559,5915,3090,2363,3330
AGAP010481,protein coding gene,"solute carrier family 6 (neurotransmitter transporter, amino acid) member 5/7/",400,394,373,310,378,299,139,277,64,229,225,288,199,160,204
AGAP010482,protein coding gene,unspecified product,103,84,61,88,75,74,53,85,29,100,93,92,37,33,63
AGAP010483,protein coding gene,exosome complex component RRP42,83,47,37,57,48,61,42,71,12,46,41,38,29,30,48
AGAP010484,protein coding gene,unspecified product,1,0,0,1,0,2,0,1,2,0,2,0,0,0,0
AGAP010485,protein coding gene,dopamine beta-monooxygenase,136,133,101,141,140,98,63,97,56,124,111,106,49,56,80
AGAP010486,protein coding gene,Putative allatostatin receptor 3 [Source:UniProtKB/TrEMBL;Acc:A0A1S4H448],515,462,471,492,461,466,281,401,194,353,420,333,266,239,301
AGAP010487,protein coding gene,unspecified product,1,0,3,0,0,0,0,3,0,4,2,0,0,0,0
AGAP010488,protein coding gene,ubiquinone biosynthesis methyltransferase,549,464,453,610,557,497,310,506,235,470,411,400,262,258,354
AGAP010489,protein coding gene,odorant-binding protein antennal 4,415,395,387,428,534,423,290,427,204,256,299,228,148,144,203
AGAP010490,protein coding gene,rabconnectin,11660,9770,8573,9548,8742,9792,6516,10982,4438,9910,10640,8749,6502,4691,6592
AGAP010491,protein coding gene,N-acetyltransferase 10,999,883,643,915,832,950,528,801,371,868,792,678,587,447,599
AGAP010492,protein coding gene,asparagine synthetase domain-containing protein c,122,117,93,96,127,114,75,142,35,128,135,108,60,58,81
AGAP010493,protein coding gene,transcription initiation factor TFIID subunit 7,389,375,291,385,307,368,401,576,353,500,406,313,227,199,224
AGAP010494,protein coding gene,partitioning defective protein 6,1899,1583,1313,1735,1461,1632,1736,1796,1658,2131,2248,1418,912,825,1076
AGAP010496,protein coding gene,"splicing factor, arginine/serine-rich 1/9",787,631,499,587,555,580,487,654,228,644,661,500,402,296,474
AGAP010497,protein coding gene,peroxin 12,70,60,56,65,65,69,56,75,72,95,62,62,31,37,47
AGAP010498,protein coding gene,RNA 3'-terminal phosphate cyclase-like protein,233,254,169,226,249,197,129,247,53,254,226,251,157,151,188
AGAP010499,protein coding gene,S-(hydroxymethyl)glutathione dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A1S4H465],1278,1156,910,912,942,939,626,1670,349,1067,969,1211,597,533,794
AGAP010500,protein coding gene,unspecified product,86,81,73,94,69,49,80,78,50,111,106,66,51,33,49
AGAP010501,protein coding gene,unspecified product,86,67,70,74,71,57,46,71,37,94,82,65,37,28,45
AGAP010502,protein coding gene,unspecified product,199,150,225,255,261,334,127,314,163,161,103,134,171,95,66
AGAP010503,protein coding gene,potassium intermediate/small conductance calcium-activated channel subfamily N,2906,2575,2479,3011,2525,2704,1812,2518,1712,2287,2309,1716,1532,1137,1302
AGAP010504,protein coding gene,odorant receptor 43,100,118,84,89,100,115,41,83,27,71,65,63,58,33,40
AGAP010505,protein coding gene,odorant receptor 44,158,144,155,154,159,184,63,95,17,119,142,94,69,69,54
AGAP010506,protein coding gene,unspecified product,745,615,584,639,588,607,343,610,376,548,568,430,386,289,398
AGAP010507,protein coding gene,unspecified product,11,3,6,1,6,5,5,5,1,3,6,2,1,3,8
AGAP010508,protein coding gene,proton-coupled amino acid transporter,2,1,2,2,1,1,1,1,0,1,2,0,0,1,1
AGAP010509,protein coding gene,organic cation transporter 3,3544,3254,2728,2385,2418,2652,1515,2652,803,3844,5668,2895,1450,1386,2144
AGAP010510,protein coding gene,Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:Q7PPR6],518,403,444,337,296,496,207,300,71,796,1007,348,152,109,192
AGAP010513,protein coding gene,putative muscarinic acetylcholine receptor 1,280,299,209,194,199,195,99,234,33,232,171,192,158,108,137
AGAP010514,protein coding gene,activator of 90 kDa heat shock protein ATPase,914,848,690,927,713,931,912,1264,582,1266,1182,987,666,522,669
AGAP010515,protein coding gene,pre-mRNA-splicing factor SYF2,303,269,218,299,217,228,223,322,137,291,350,214,136,136,171
AGAP010516,protein coding gene,unspecified product,620,508,436,489,394,542,427,538,168,688,891,428,316,244,330
AGAP010517,protein coding gene,manganese-iron superoxide dismutase 1,2828,2237,2467,2722,2376,2444,1203,2565,724,2178,2061,2074,1411,1240,1913
AGAP010518,protein coding gene,unspecified product,454,340,299,348,256,351,370,514,243,484,497,386,258,230,258
AGAP010519,protein coding gene,kinesin-like protein unc-104,12664,11335,10424,11694,10646,10632,7803,11087,7080,10076,10175,8615,6449,4797,6374
AGAP010520,protein coding gene,"krueppel-like factor, other",72,60,61,50,37,73,42,65,35,47,43,36,41,32,38
AGAP010522,ncRNA gene,unspecified product,0,3,3,7,4,2,5,10,2,1,3,4,3,4,6
AGAP010524,ncRNA gene,unspecified product,2,0,1,4,2,0,1,2,1,1,2,4,0,0,1
AGAP010525,ncRNA gene,unspecified product,0,0,1,0,0,0,1,2,4,1,0,0,0,1,0
AGAP010526,ncRNA gene,unspecified product,0,0,0,0,0,0,1,2,2,0,2,0,0,0,0
AGAP010527,ncRNA gene,unspecified product,2,1,3,0,3,3,0,10,2,6,3,0,2,2,2
AGAP010530,protein coding gene,CLIP-domain serine protease [Source:UniProtKB/TrEMBL;Acc:A0A1S4H4A2],2161,2133,2256,1892,1722,2012,2036,3120,1480,2307,5365,2701,667,428,793
AGAP010531,protein coding gene,fibrinogen-related protein 7,520,524,441,398,340,280,783,1018,1249,780,1308,978,128,67,62
AGAP010532,ncRNA gene,unspecified product,0,2,1,1,0,1,0,2,0,2,0,0,2,1,1
AGAP010533,ncRNA gene,unspecified product,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2
AGAP010534,protein coding gene,unspecified product,2342,2275,2092,2492,2640,1683,1288,1507,584,2110,2553,1522,1102,954,1368
AGAP010535,protein coding gene,3-demethylubiquinone-9 3-methyltransferase 2,8,4,3,8,6,1,1,3,0,10,12,1,7,3,5
AGAP010536,protein coding gene,nucleolar complex protein 2,1684,1312,1009,1524,1239,1463,1266,1691,1271,1765,1457,1274,1095,968,1131
AGAP010537,protein coding gene,hexaprenyldihydroxybenzoate methyltransferase,159,174,152,165,166,151,112,231,47,191,188,156,82,57,86
AGAP010538,protein coding gene,M-phase phosphoprotein,79,71,54,91,72,80,89,87,102,90,113,66,41,47,57
AGAP010539,protein coding gene,coiled-coil and C2 domain-containing protein 1-like,897,772,728,828,768,826,586,1000,308,1109,890,884,476,378,522
AGAP010540,protein coding gene,unspecified product,94,46,48,71,40,80,62,62,39,137,59,60,62,52,88
AGAP010542,protein coding gene,defective proboscis extension response 6,798,786,753,942,711,772,705,807,639,646,609,491,433,305,348
AGAP010543,protein coding gene,unspecified product,1098,1153,980,767,964,792,336,908,127,1035,1177,957,439,425,652
AGAP010544,protein coding gene,cell cycle arrest protein BUB3,311,263,186,203,162,229,151,280,103,271,238,210,167,116,150
AGAP010545,protein coding gene,unspecified product,2257,2212,2505,1482,1468,1654,1035,1843,684,2965,2276,1356,582,677,806
AGAP010548,protein coding gene,Laminin IV type A domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H5A6],2376,2405,1694,2454,2558,1544,1596,3534,1609,3254,3018,2727,972,944,1486
AGAP010550,protein coding gene,venom allergen,235,257,200,469,426,354,82,133,23,166,152,162,211,230,402
AGAP010551,protein coding gene,STE20-like kinase [Source:UniProtKB/TrEMBL;Acc:A0A1S4H4C9],9400,8059,7246,8054,7432,8176,5273,7947,2900,8513,9309,6878,4996,3637,5101
AGAP010552,protein coding gene,"mimitin, mitochondrial",551,515,479,705,618,543,444,660,437,415,454,500,350,294,349
AGAP010553,protein coding gene,poly(U)-binding-splicing factor PUF60,3757,3020,2959,3383,3038,3361,2242,3856,1356,2714,3477,2656,2255,1703,2151
AGAP010554,protein coding gene,JmjC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H4B6],174,124,121,142,137,119,117,151,106,161,124,118,83,52,88
AGAP010555,protein coding gene,unspecified product,24,43,19,19,21,28,12,28,4,19,24,27,10,6,12
AGAP010556,protein coding gene,phosphatidylinositol-bisphosphatase,932,770,732,661,730,623,462,841,251,800,983,666,480,355,534
AGAP010557,protein coding gene,B-cell receptor-associated protein 31,1478,1573,1238,1639,1615,1338,1440,2252,1331,2470,2422,1608,926,772,956
AGAP010558,protein coding gene,ER membrane protein complex subunit 4 [Source:UniProtKB/TrEMBL;Acc:Q7Q8U0],266,250,180,264,205,230,237,256,177,234,214,266,155,97,167
AGAP010559,protein coding gene,transcription initiation factor TFIIH subunit 2,149,125,80,118,82,89,105,148,105,164,144,117,84,67,67
AGAP010562,protein coding gene,AA_permease_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H4C7],512,437,487,369,319,450,135,264,79,381,335,233,223,168,297
AGAP010563,protein coding gene,"solute carrier family 7 (cationic amino acid transporter, y+ system)",1860,1654,1367,667,490,874,990,1215,296,1202,2384,1295,208,227,254
AGAP010564,protein coding gene,pur-alpha,1160,894,822,826,595,839,847,1098,1358,767,767,648,591,368,540
AGAP010565,protein coding gene,unspecified product,698,598,547,461,410,620,335,648,233,478,490,422,373,275,378
AGAP010566,protein coding gene,ORM1-like 3,98,105,68,114,122,64,84,94,73,133,125,81,49,47,64
AGAP010567,protein coding gene,"solute carrier family 7 (cationic amino acid transporter), member 4",537,500,377,502,488,390,241,384,127,373,417,333,220,165,227
AGAP010568,protein coding gene,"Lipoyl synthase, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1S4H5C6]",1192,1421,1201,1139,1347,956,744,1357,313,1361,1262,1125,752,591,719
AGAP010569,ncRNA gene,unspecified product,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
AGAP010570,ncRNA gene,unspecified product,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
AGAP010571,protein coding gene,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H4D0],367,269,309,289,410,275,193,248,98,392,464,243,165,141,202
AGAP010572,protein coding gene,protein LTV1,3704,3191,3093,3379,3219,2497,2816,4176,1859,3642,3637,3597,2034,1600,2347
AGAP010573,protein coding gene,unspecified product,404,353,346,423,401,380,295,460,144,340,382,349,271,198,304
AGAP010574,protein coding gene,pre-rRNA-processing protein IPI1,130,107,95,113,112,107,35,107,14,106,83,105,83,71,97
AGAP010575,protein coding gene,RBBP5 protein,184,143,152,109,129,106,78,151,41,187,152,138,105,84,146
AGAP010576,protein coding gene,Mitochondrial genome maintenance exonuclease 1 [Source:UniProtKB/TrEMBL;Acc:Q7Q8T1],74,74,58,56,60,46,48,67,44,54,72,49,29,22,41
AGAP010577,protein coding gene,tyrosyl-DNA phosphodiesterase 1,201,112,122,147,103,104,116,141,59,150,101,97,79,63,88
AGAP010580,protein coding gene,unspecified product,86,74,99,93,72,70,48,77,21,98,119,104,43,53,65
AGAP010583,protein coding gene,unspecified product,2,0,0,2,0,2,0,1,2,2,1,1,2,0,1
AGAP010585,protein coding gene,DNA fragmentation factor-related protein 1,896,838,721,1100,805,865,977,1028,854,819,806,647,493,397,491
AGAP010586,protein coding gene,aminoacyl tRNA synthase complex-interacting multifunctional protein 1,582,549,437,410,489,374,257,517,134,574,542,505,325,268,428
AGAP010587,protein coding gene,tetratricopeptide repeat protein 7B,731,615,462,572,525,571,430,729,253,907,812,689,310,324,470
AGAP010588,protein coding gene,Chaperonin containing TCP1 subunit 8,3067,2689,2153,2137,1990,2273,1210,2770,619,3044,2794,2481,1499,1435,1912
AGAP010589,protein coding gene,guanine nucleotide-binding protein subunit gamma,1798,1608,1358,1895,1479,1545,1322,1844,928,1657,1784,1490,947,854,1174
AGAP010590,protein coding gene,"39S ribosomal protein L30, mitochondrial",609,540,524,612,588,536,389,640,198,576,481,509,358,254,351
AGAP010591,protein coding gene,40S ribosomal protein S20,23978,21954,19185,21780,22807,17618,12836,23173,10306,26003,25503,23982,10937,10999,16298
AGAP010592,protein coding gene,40S ribosomal protein S7 [Source:UniProtKB/Swiss-Prot;Acc:P33514],21819,21314,18228,17233,17885,16402,10226,23276,7342,20587,20339,18386,10992,10257,13142
AGAP010593,protein coding gene,unspecified product,346,301,251,302,311,257,205,285,98,366,365,281,168,148,178
AGAP010594,protein coding gene,Protein CWC15 homolog A,296,245,204,272,242,250,226,422,126,296,250,233,179,184,201
AGAP010595,protein coding gene,unspecified product,670,431,324,673,723,691,221,353,97,359,246,305,457,260,437
AGAP010596,protein coding gene,Alkaline phosphatase [Source:UniProtKB/TrEMBL;Acc:Q7Q8R8],2470,2624,1287,2214,2615,1416,1752,2720,1284,1807,2781,2459,1395,772,1073
AGAP010597,protein coding gene,DUF4758 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H4G7],239,251,332,209,118,274,120,198,101,162,183,137,89,62,80
AGAP010598,protein coding gene,Tetraspanin [Source:UniProtKB/TrEMBL;Acc:A0A1S4H5A2],1230,1025,980,1227,1382,1140,763,810,288,871,1142,824,585,454,700
AGAP010599,protein coding gene,TPR_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4H5F0],2336,2056,1913,2085,1888,1835,1514,2091,924,2141,2134,1861,1194,978,1363
AGAP010600,protein coding gene,insulin-like peptide 2,1603,1701,1432,2175,2056,1268,2547,3143,1829,1707,4846,2466,657,642,694
AGAP010601,protein coding gene,insulin-like peptide 4,147,138,89,82,95,84,41,83,14,97,69,74,28,29,27
AGAP010602,protein coding gene,Insulin-like peptide 3,85,24,42,17,9,72,3,23,2,93,8,11,5,0,4
AGAP010603,protein coding gene,Insulin-like peptide 1,10,7,5,2,6,6,1,3,0,7,3,5,5,1,4
AGAP010604,protein coding gene,Insulin-like peptide 6,262,330,189,304,339,200,264,345,255,253,329,303,137,145,172
AGAP010605,protein coding gene,Insulin-like peptide 7,14,15,9,11,15,8,6,6,5,13,13,17,6,7,7
AGAP010606,protein coding gene,mitochondrial import inner membrane translocase subunit Tim8 B,629,646,501,649,571,473,556,831,343,643,613,573,367,295,392
AGAP010607,protein coding gene,unspecified product,623,622,604,753,657,576,748,808,783,632,651,538,333,248,399
AGAP010608,protein coding gene,clathrin light chain,2124,1793,1588,2139,1597,1856,1787,2538,1309,2366,2442,1586,1092,864,1081
AGAP010609,protein coding gene,DnaJ (Hsp40) homolog subfamily C,122,123,113,112,124,86,89,172,51,184,155,89,78,87,98
AGAP010610,protein coding gene,NHLRC2 protein,890,782,661,617,668,634,276,743,139,805,721,660,477,386,519
AGAP010611,protein coding gene,unspecified product,1440,1123,1110,1242,1122,1150,919,1403,860,1371,1408,1015,917,582,751
AGAP010612,protein coding gene,elongation factor 1-beta,5436,4870,4154,4294,4456,3806,3298,6657,801,5850,5430,5483,2832,2687,3750
AGAP010613,protein coding gene,unspecified product,860,1031,614,392,834,761,441,939,701,1033,681,385,368,334,495
AGAP010614,protein coding gene,unspecified product,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0
AGAP010615,protein coding gene,Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0NE10],7,2,0,1,6,3,1,5,1,1,9,7,1,0,5
AGAP010616,protein coding gene,unspecified product,129,85,77,87,80,66,41,70,35,102,79,75,38,43,65
AGAP010617,protein coding gene,unspecified product,14,16,17,2,3,5,4,5,3,8,9,6,7,9,4
AGAP010618,protein coding gene,unspecified product,4,12,9,6,1,4,2,6,1,3,0,0,5,0,0
AGAP010619,protein coding gene,unspecified product,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
AGAP010620,protein coding gene,unspecified product,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AGAP010621,protein coding gene,glycine transporter,250,249,219,133,126,197,97,159,50,253,310,230,96,89,98
AGAP010622,protein coding gene,Era G-protein-like 1,459,446,363,383,398,333,245,477,115,422,356,365,245,207,264
AGAP010623,protein coding gene,X box-binding protein 1,5373,5707,5186,4964,4236,4970,3971,8216,3097,6651,6206,4494,3429,3069,3430
AGAP010624,protein coding gene,Developmentally regulated GTP-binding protein,824,805,615,671,673,650,569,960,331,923,854,697,432,430,517
AGAP010625,protein coding gene,unspecified product,133,92,80,78,87,113,60,98,19,108,124,65,47,30,71
AGAP010626,protein coding gene,PAB-dependent poly(A)-specific ribonuclease subunit 2,1246,1166,1191,933,863,696,610,1577,208,1179,1284,1170,613,599,705
